Date,Open,High,Low,Close,Volume,Adj Close
2018-05-02,0,0,0,313.3599853515625,0,0
2018-05-03,0,0,0,311.69000244140625,0,0
2018-05-04,0,0,0,320.0899963378906,0,0
2018-05-07,0,0,0,326.260009765625,0,0
2018-05-08,0,0,0,326.8900146484375,0,0
2018-05-09,0,0,0,330.29998779296875,0,0
2018-05-10,0,0,0,329.6000061035156,0,0
2018-05-11,0,0,0,326.4599914550781,0,0
2018-05-14,0,0,0,328.5299987792969,0,0
2018-05-15,0,0,0,326.1300048828125,0,0
2018-05-16,0,0,0,328.19000244140625,0,0
2018-05-17,0,0,0,325.2200012207031,0,0
2018-05-18,0,0,0,324.17999267578125,0,0
2018-05-21,0,0,0,331.82000732421875,0,0
2018-05-22,0,0,0,331.6199951171875,0,0
2018-05-23,0,0,0,344.7200012207031,0,0
2018-05-24,0,0,0,349.2900085449219,0,0
2018-05-25,0,0,0,351.2900085449219,0,0
2018-05-29,0,0,0,349.7300109863281,0,0
2018-05-30,0,0,0,353.5400085449219,0,0
2018-05-31,0,0,0,351.6000061035156,0,0
2018-06-01,0,0,0,359.92999267578125,0,0
2018-06-04,0,0,0,361.80999755859375,0,0
2018-06-05,0,0,0,365.79998779296875,0,0
2018-06-06,0,0,0,367.45001220703125,0,0
2018-06-07,0,0,0,361.3999938964844,0,0
2018-06-08,0,0,0,360.57000732421875,0,0
2018-06-11,0,0,0,361.45001220703125,0,0
2018-06-12,0,0,0,363.8299865722656,0,0
2018-06-13,0,0,0,379.92999267578125,0,0
2018-06-14,0,0,0,392.8699951171875,0,0
2018-06-15,0,0,0,391.9800109863281,0,0
2018-06-18,0,0,0,390.3999938964844,0,0
2018-06-19,0,0,0,404.9800109863281,0,0
2018-06-20,0,0,0,416.760009765625,0,0
2018-06-21,0,0,0,415.44000244140625,0,0
2018-06-22,0,0,0,411.0899963378906,0,0
2018-06-25,0,0,0,384.4800109863281,0,0
2018-06-26,0,0,0,399.3900146484375,0,0
2018-06-27,0,0,0,390.3900146484375,0,0
2018-06-28,0,0,0,395.4200134277344,0,0
2018-06-29,0,0,0,391.42999267578125,0,0
2018-07-02,0,0,0,398.17999267578125,0,0
2018-07-03,0,0,0,390.5199890136719,0,0
2018-07-05,0,0,0,398.3900146484375,0,0
2018-07-06,0,0,0,408.25,0,0
2018-07-09,0,0,0,418.9700012207031,0,0
2018-07-10,0,0,0,415.6300048828125,0,0
2018-07-11,0,0,0,418.6499938964844,0,0
2018-07-12,0,0,0,413.5,0,0
2018-07-13,0,0,0,395.79998779296875,0,0
2018-07-16,0,0,0,400.4800109863281,0,0
2018-07-17,0,0,0,379.4800109863281,0,0
2018-07-18,0,0,0,375.1300048828125,0,0
2018-07-19,0,0,0,364.2300109863281,0,0
2018-07-20,0,0,0,361.04998779296875,0,0
2018-07-23,0,0,0,362.6600036621094,0,0
2018-07-24,0,0,0,357.32000732421875,0,0
2018-07-25,0,0,0,362.8699951171875,0,0
2018-07-26,0,0,0,363.0899963378906,0,0
2018-07-27,0,0,0,355.2099914550781,0,0
2018-07-30,0,0,0,334.9599914550781,0,0
2018-07-31,0,0,0,337.45001220703125,0,0
2018-08-01,0,0,0,338.3800048828125,0,0
2018-08-02,0,0,0,344.5,0,0
2018-08-03,0,0,0,343.0899963378906,0,0
2018-08-06,0,0,0,350.9200134277344,0,0
